#,Kana,Kanji,Type,Definition/s
65,うれしい,,adj,"happy, glad"
66,うん,,n,"yes (informal), alright"
67,うんてんしゅ,運転手,n,"driver, chauffeur"
68,うんてん・する,運転,"n,vs",driving
69,うんどう・する,運動,"n,vs",exercise
70,エスカレーター,,n,escalator
71,えだ,枝,n,"branch, twig"
72,えらぶ,選ぶ,v5b,"to choose, to select"
73,えんりょ・する,遠慮,"adj-na,n,vs","restraint, reserve"
74,おいでになる,,u-v,(hon)to be
75,おいわい,お祝い,n,"congratulation, celebration"
76,オートバイ,,n,motorcycle (lit: auto-bi(ke))
77,オーバー,,"adj-na,n,vs",overcoat
78,おかげ,,n,thanks or owing to
79,おかしい,,adj,"strange, funny"
80,～おき,,,after every ～
81,おく,億,num,"100,000,000, hundred million"
82,おくじょう,屋上,n,rooftop
83,おくりもの,贈り物,n,"present, gift"
84,おくる,送る,u-v,"to send (a thing), to dispatch"
85,おくれる,遅れる,ru-v,"to be late, to be delayed"
86,おこさん,お子さん,n,(someone else's) child
87,おこす,起こす,u-v,to wake someone
88,おこなう,行う,u-v,"to perform, to do, to carry out"
89,おこる,怒る,u-v,"to get angry, to be angry"
90,おしいれ,押し入れ,n,closet
91,おじょうさん,お嬢さん,n,"(1) (hon) daughter, (2) young lady"
92,おたく,お宅,n,"(pol) your house, your home"
93,おちる,落ちる,ru-v,"to fall, to drop"
94,おっしゃる,,aru-v,"(hon) to say, to speak"
95,おっと,夫,n,husband
96,おつり,,n,"change (money), balance"
97,おと,音,"n,n-suf","sound, note"
98,おとす,落す,u-v,"to drop, to lose"
99,おどり,踊り,n,dance
100,おどる,踊る,u-v,to dance
101,おどろく,驚く,u-v,"to be surprised, to be astonished"
102,おまつり,お祭り,,festival
103,おみまい,お見舞い,n,"calling on someone who is ill, enquiry"
104,おみやげ,お土産,n,souvenir
105,おもいだす,思い出す,u-v,"to recall, to remember"
106,おもう,思う,u-v,"to think, to feel"
107,おもちゃ,,n,toy
108,おもて,表,"n,n-suf","the front, surface, exterior"
109,おや,親,n,parents
110,おりる,下りる,ru-v,"to descend a mountain, to (descend) go down stairs"
111,おる,,u-v,to be (polite version of いる)
112,おる,折る,u-v,"to break, to fold, to pick a flower"
113,おれい,お礼,n,"thanking, expression of gratitude"
114,おれる,折れる,"ru-v,vi,vt","to break, to be folded, to give in, to turn (a corner)"
115,おわり,終わり,n,the end
116,～おわる,,suf,end of ～
117,～か,～家,,professional ～
118,カーテン,,n,curtain
119,～かい,～会,,～ meeting
120,かいがん,海岸,n,"coast, beach"
121,かいぎ,会議,n,"meeting, conference"
122,かいぎしつ,会議室,n,conference room
123,かいじょう,会場,n,"assembly hall, meeting place, the grounds"
124,かいわ,会話,n,conversation
125,かえり,帰り,n,"return, coming back"
126,かえる,変える,"ru-v,vt","to change, to alter, to vary"
127,かがく,科学,n,science
128,かがみ,鏡,n,mirror
129,～がくぶ,～学部,,department of a university
130,かける,掛ける,,"to hang, to put on (eg wall)"
131,かける,,,to sit down
132,かける,,,to begin to
133,かざる,飾る,u-v,"to decorate, to ornament, to adorn"
134,かじ,火事,n,fire
135,ガス,,n,gas
136,ガソリン,,n,"gasoline, petrol"
137,ガソリンスタンド,,n,"gasoline stand, gas station, petrol station"
138,かた,方,n-suf,way of doing
139,かたい,堅/硬/固い,adj,"solid, hard, firm"
140,かたち,形,n,shape
141,かたづける,片付ける,ru-v,"to tidy up, to put in order, to put away"
142,かちょう,課長,n,section manager
143,かつ,勝つ,u-v,"to win, to gain victory"
144,かっこう,,"no--adj, na-adj","appearance, manner"
145,かない,家内,n,housewife
146,かなしい,悲しい,adj,"sad, sorrowful"
147,かならず,必ず,adv,"certainly, necessarily, invariably"
148,かねもち/おかねもち,お・金持ち,n,rich man
149,かのじょ,彼女,n,"she, girl-friend"
150,かべ,壁,n,wall
151,かまう,,u-v,"to mind, to care about"
152,かみ,髪,n,hair
153,かむ,噛む,u-v,"to bite, to chew"
154,かよう,通う,u-v,"(1) to go back and forth, (2) to commute"
155,ガラス,,n,"glass, pane"
156,かれ,彼,n,"he, boyfriend"
157,かれら,彼ら,n,they (usually male)
158,かわく,乾く,"u-v,vi",to get dry
159,かわり,代わり,n,"substitute, alternate"
160,かわる,変わる,"u-v,vi","to change, to be transformed, to vary"
161,かんがえる,考える,ru-v,to consider
162,かんけい,関係,"n,vs","relation, connection"
163,かんごふ,看護婦,n,(female) nurse
164,かんたん,簡単,"adj-na,n",simple
165,がんばる,頑張る,u-v,"to try one's best, to persist"
166,き,気,n,"spirit, mood"
167,きかい,機会,n,"chance, opportunity"
168,きけん,危険,"adj-na,n","danger, peril, hazard"
169,きこえる,聞こえる,ru-v,"to be heard, to be audible"
170,きしゃ,汽車,n,train (steam)
171,ぎじゅつ,技術,n,"art, technique, technology, skill"
172,きせつ,季節,n,season
173,きそく,規則,n,"rule, regulations"
174,きっと,,"adv,n","surely, definitely"
175,きぬ,絹,n,silk
176,きびしい,厳しい,adj,strict
177,きぶん,気分,n,"feeling, mood"
178,きまる,決る,u-v,"to be decided, to be settled"
179,きみ,君,"n,suf",You (masculine term for female)
180,きめる,決める,ru-v,to decide
181,きもち,気持ち,n,"feeling, sensation, mood"
182,きもの,着物,n,kimono
183,きゃく,客,n,"guest, customer"
184,きゅう,急,"adj-na,n","(1) urgent, sudden, (2) steep"
185,きゅうこう,急行,n,express (eg train that bypasses stations)
186,きょういく,教育,"adj-no,n,vs","training, education"
187,きょうかい,教会,n,church
188,きょうそう,競争,"n,vs","competition, contest"
189,きょうみ,興味,n,interest (in something)
190,きんじょ,近所,n,neighbourhood
191,～く,～区,n,district ～
192,ぐあい,具合,n,"condition, state, health"
193,くうき,空気,n,"air, atmosphere"
194,くうこう,空港,n,airport
195,くさ,草,n,grass
196,くださる,,aru-v,"(hon) to give, to confer"
197,くび,首,n,neck
198,くも,雲,n,cloud
199,くらべる,比べる,ru-v,to compare
200,くれる,,ru-v,"to give, to do for"
201,くれる,暮れる,ru-v,"to get dark, to come to an end"
202,～くん,～君,n-suf,"Mr (junior) ～, master ～"
203,け,毛,n,hair
204,け,毛,n,fur
205,けいかく・する,計画,"n,vs","plan, project, schedule"
206,けいけん・する,経験,"n,vs",experience
207,けいざい,経済,n,"economics, finance, economy"
208,けいさつ,警察,n,police
209,けが・する,,"n,vs","injury (to animate object), hurt"
210,ケーキ,,n,cake
211,けしき,景色,n,"scenery, scene, landscape"
212,けしゴム,消しゴム,n,eraser
213,げしゅく,下宿,"n,vs","boarding, lodging, boarding house"
214,けっして,決して,adv,never
215,けれど/けれども,,conj,"but, however"
216,～けん,～軒,,counter for houses
217,げんいん,原因,n,"cause, origin, source"
218,けんか・する,,n,quarrel
219,げんかん,玄関,n,entrance way (in Japanese house)
220,けんきゅう,研究,"n,vs","study, research, investigation"
221,けんきゅうしつ,研究室,n,"study room, laboratory"
222,けんぶつ,見物,n,"a sight, an attraction"
223,こ,子,n,child
224,ご～,御～,prefix,honourable ～
225,こう,,"adv,int-n","like this, this way"
226,こうがい,郊外,n,"suburb, outskirts"
227,こうぎ,講義,"n,vs",lecture
228,こうぎょう,工業,n,(manufacturing) industry
229,こうこう/こうとうがっこう,高校/高等学校,n,high school/senior high school
230,こうこうせい,高校生,n,high school student
231,こうじょう,工場,n,factory
232,こうちょう,校長,n,"principal, headmaster"
233,こうつう,交通,n,"traffic, transportation"
234,こうどう,講堂,n,auditorium
235,こうむいん,公務員,n,"government worker, public servant"
236,こくさい,国際,n,international
237,こころ,心,n,"core, heart"
238,～ございます,,expr,"to be (polite), to exist"
239,ごしゅじん,ご主人,n,"your husband, her husband"
240,こしょう・する,故障,"n,vs",break-down
241,ごぞんじ,ご存じ,n,"knowing, acquaintance"
242,こたえ,答,n,"answer, response"
243,ごちそう,,"n,vs","feast, treating (someone)"
244,こっち,,n,"(1) this person, (2) this direction, (3) this side, (4) thereafter"
245,こと,,n,"thing, matter, fact"
246,ことり,小鳥,n,small bird
247,このあいだ,,n-adv,"the other day, recently"
248,このごろ,,,"these days, nowadays"
249,こまかい,細かい,adj,"(1) small, (2) fine, minute"
250,ごみ,,n,"rubbish, trash, garbage"
251,こむ,込む,u-v,to be crowded
252,こめ,米,n,uncooked rice
253,ごらんになる,,,(hon) to see
254,これから,,n-t,after this
255,こわい,怖い,adj,"scary, frightening"
256,こわす,壊す,"u-v,vt","to break, to break down"
257,こわれる,壊れる,"ru-v,vi","to be broken, to break"
258,コンサート,,n,concert
259,こんど,今度,"n-adv,n-t","now, next time"
260,コンピュータ/コンピューター,,n,computer
261,こんや,今夜,"n-adv,n-t","this evening, tonight"
262,さいきん,最近,"adj-no,n-adv,n-t","latest, most recent, nowadays"
263,さいご,最後,n,"last, end, conclusion"
264,さいしょ,最初,"adj-no,n-adv,n-t","beginning, first"
265,さか,坂,n,"slope, hill"
266,さがす,探す,u-v,"to search, to seek, to look for"
267,さがる,下る,u-v,"to get down, to descend"
268,さかん,盛ん,"adj-na,n","popularity, prosperous"
269,さげる,下げる,ru-v,"to hang, to lower, to move back"
270,さしあげる,差し上げる,ru-v,"(polite) to give, to offer"
271,さっき,,n,some time ago
272,さびしい,寂しい,adj,"lonely, lonesome"
273,～さま,～様,n-suf,Mr or Mrs ～
274,さらいげつ,さ来月,,the month after next
275,さらいしゅう,さ来週,"n-adv,n-t",the week after next
276,サラダ,,n,salad
277,さわぐ,騒ぐ,u-v,"to make noise, to clamor, to be excited"
278,さわる,触る,u-v,"to touch, to feel"
279,さんぎょう,産業,n,industry
280,サンダル,,n,sandal
281,サンドイッチ,,n,sandwich
